inst_instid,indic_indicid,area_areaid,date_published,date_from,date_until,value,is_forecast
ECB,HICP_MPE,EA17,2024-10-01,2024-01-01,2025-01-01,2.4,Y
ECB,HICP_STD,EA17,2024-10-01,2024-01-01,2025-01-01,0.1,Y
ECB,CHICP_MPE,EA17,2024-10-01,2024-01-01,2025-01-01,2.8,Y
ECB,CHICP_STD,EA17,2024-10-01,2024-01-01,2025-01-01,0.1,Y
ECB,RGDP_MPE,EA17,2024-10-01,2024-01-01,2025-01-01,0.7,Y
ECB,RGDP_STD,EA17,2024-10-01,2024-01-01,2025-01-01,0.1,Y
ECB,UR_MPE,EA17,2024-10-01,2024-01-01,2025-01-01,6.5,Y
ECB,UR_STD,EA17,2024-10-01,2024-01-01,2025-01-01,0.2,Y
ECB,HICP_MPE,EA17,2024-10-01,2025-01-01,2026-01-01,1.9,Y
ECB,HICP_STD,EA17,2024-10-01,2025-01-01,2026-01-01,0.2,Y
ECB,CHICP_MPE,EA17,2024-10-01,2025-01-01,2026-01-01,2.2,Y
ECB,CHICP_STD,EA17,2024-10-01,2025-01-01,2026-01-01,0.2,Y
ECB,RGDP_MPE,EA17,2024-10-01,2025-01-01,2026-01-01,1.2,Y
ECB,RGDP_STD,EA17,2024-10-01,2025-01-01,2026-01-01,0.2,Y
ECB,UR_MPE,EA17,2024-10-01,2025-01-01,2026-01-01,6.5,Y
ECB,UR_STD,EA17,2024-10-01,2025-01-01,2026-01-01,0.2,Y
ECB,HICP_MPE,EA17,2024-10-01,2026-01-01,2027-01-01,1.9,Y
ECB,HICP_STD,EA17,2024-10-01,2026-01-01,2027-01-01,0.2,Y
ECB,CHICP_MPE,EA17,2024-10-01,2026-01-01,2027-01-01,2.0,Y
ECB,CHICP_STD,EA17,2024-10-01,2026-01-01,2027-01-01,0.2,Y
ECB,RGDP_MPE,EA17,2024-10-01,2026-01-01,2027-01-01,1.4,Y
ECB,RGDP_STD,EA17,2024-10-01,2026-01-01,2027-01-01,0.2,Y
ECB,UR_MPE,EA17,2024-10-01,2026-01-01,2027-01-01,6.4,Y
ECB,UR_STD,EA17,2024-10-01,2026-01-01,2027-01-01,0.2,Y
ECB,HICP_MPE,EA17,2024-10-01,2025-09-01,2026-09-01,2.0,Y
ECB,HICP_STD,EA17,2024-10-01,2025-09-01,2026-09-01,0.3,Y
ECB,CHICP_MPE,EA17,2024-10-01,2025-09-01,2026-09-01,2.1,Y
ECB,CHICP_STD,EA17,2024-10-01,2025-09-01,2026-09-01,0.3,Y
ECB,HICP_MPE,EA17,2024-10-01,2026-09-01,2027-09-01,1.9,Y
ECB,HICP_STD,EA17,2024-10-01,2026-09-01,2027-09-01,0.2,Y
ECB,CHICP_MPE,EA17,2024-10-01,2026-09-01,2027-09-01,1.9,Y
ECB,CHICP_STD,EA17,2024-10-01,2026-09-01,2027-09-01,0.2,Y
ECB,HICP_MPE,EA17,2024-10-01,2029-01-01,2030-01-01,2.0,Y
ECB,HICP_STD,EA17,2024-10-01,2029-01-01,2030-01-01,0.2,Y
ECB,CHICP_MPE,EA17,2024-10-01,2029-01-01,2030-01-01,2.0,Y
ECB,CHICP_STD,EA17,2024-10-01,2029-01-01,2030-01-01,0.2,Y
ECB,RGDP_MPE,EA17,2024-10-01,2029-01-01,2030-01-01,1.3,Y
ECB,RGDP_STD,EA17,2024-10-01,2029-01-01,2030-01-01,0.2,Y
ECB,UR_MPE,EA17,2024-10-01,2029-01-01,2030-01-01,6.4,Y
ECB,UR_STD,EA17,2024-10-01,2029-01-01,2030-01-01,0.4,Y
ECB,RGDP_MPE,EA17,2024-10-01,2025-04-01,2026-04-01,1.1,Y
ECB,RGDP_STD,EA17,2024-10-01,2025-04-01,2026-04-01,0.3,Y
ECB,RGDP_MPE,EA17,2024-10-01,2026-04-01,2027-04-01,1.4,Y
ECB,RGDP_STD,EA17,2024-10-01,2026-04-01,2027-04-01,0.3,Y
ECB,UR_MPE,EA17,2024-10-01,2025-08-01,2026-08-01,6.5,Y
ECB,UR_STD,EA17,2024-10-01,2025-08-01,2026-08-01,0.2,Y
ECB,UR_MPE,EA17,2024-10-01,2026-08-01,2027-08-01,6.4,Y
ECB,UR_STD,EA17,2024-10-01,2026-08-01,2027-08-01,0.2,Y
